"Variable_name"	"Variable_label"	"Value_labels"
"30"	"CDI.L.T.SS"	"CDI; Language; teacher ratings; sum of scores"	""
"31"	"CDT.S"	"Score cookie delay task"	""
"32"	"CS.P.ADHDI.SC"	"CTRS_Rs; Parent ratings; D: ADHD index; count of non-zero scores"	""
"33"	"CS.P.ADHDI.SS"	"CTRS_Rs; Parent ratings; D: ADHD index; sum of scores"	""
"34"	"CS.P.COG.SC"	"CTRS_Rs; Parent ratings; B: Cognitive problems/Inattention; count of non-zero scores"	""
"35"	"CS.P.COG.SS"	"CTRS_Rs; Parent ratings; B: Cognitive problems/Inattention; sum of scores"	""
"36"	"CS.P.HYP.SC"	"CTRS_Rs; Parent ratings; C: Hyperactivity; count of non-zero scores"	""
"37"	"CS.P.HYP.SS"	"CTRS_Rs; Parent ratings; C: Hyperactivity; sum of scores"	""
"38"	"CS.P.OPP.SC"	"CTRS_Rs; Parent ratings; A: Oppositional; count of non-zero scores"	""
"39"	"CS.P.OPP.SS"	"CTRS_Rs; Parent ratings; A: Oppositional; sum of scores"	""
"40"	"CS.P.xADHD.SC"	"CTRS_Rs; Parent ratings; ADHD (!= Conners!); count of non-zero scores"	""
"41"	"CS.P.xADHD.SS"	"CTRS_Rs; Parent ratings; ADHD (!= Conners!); sum of scores"	""
"42"	"CS.P.xAHI.SS"	"CTRS_Rs; Parent ratings; ADHD HyperactivityImpulsivity (!= Conners!); sum of scores"	""
"43"	"CS.P.xAHY.SS"	"CTRS_Rs; Parent ratings; ADHD hyperactivity (!= Conners!); sum of scores; (Items: )"	""
"44"	"CS.P.xAIA.SS"	"CTRS_Rs; Parent ratings; ADHD inattention (!= Conners!); sum of scores; (Items: )"	""
"45"	"CS.P.xAIM.SS"	"CTRS_Rs; Parent ratings; ADHD impulsivity (!= Conners!); sum of scores; (Items: )"	""
"46"	"CS.P.xCD.SS"	"CTRS_Rs; Parent ratings; Conduct disorder (!= Conners!); sum of scores; (Items: )"	""
"47"	"CS.P.xODD.SS"	"CTRS_Rs; Parent ratings; ODD (!= Conners!); sum of scores; (Items: )"	""
"48"	"CS.T.ADHDI.SC"	"CTRS_Rs; Teacher ratings; D: ADHD index; count of non-zero scores"	""
"49"	"CS.T.ADHDI.SS"	"CTRS_Rs; Teacher ratings; D: ADHD index; sum of scores"	""
"50"	"CS.T.COG.SC"	"CTRS_Rs; Teacher ratings; B: Cognitive problems/Inattention; count of non-zero scores"	""
"51"	"CS.T.COG.SS"	"CTRS_Rs; Teacher ratings; B: Cognitive problems/Inattention; sum of scores"	""
"52"	"CS.T.HYP.SC"	"CTRS_Rs; Teacher ratings; C: Hyperactivity; count of non-zero scores"	""
"53"	"CS.T.HYP.SS"	"CTRS_Rs; Teacher ratings; C: Hyperactivity; sum of scores"	""
"54"	"CS.T.OPP.SC"	"CTRS_Rs; Teacher ratings; A: Oppositional; count of non-zero scores"	""
"55"	"CS.T.OPP.SS"	"CTRS_Rs; Teacher ratings; A: Oppositional; sum of scores"	""
"56"	"CS.T.xADHD.SC"	"CTRS_Rs; Teacher ratings; ADHD (!= Conners!); count of non-zero scores"	""
"57"	"CS.T.xADHD.SS"	"CTRS_Rs; Teacher ratings; ADHD (!= Conners!); sum of scores"	""
"58"	"CS.T.xAHI.SS"	"CTRS_Rs; Teacher ratings; ADHD HyperactivityImpulsivity (!= Conners!); sum of scores"	""
"59"	"CS.T.xAHY.SS"	"CTRS_Rs; Teacher ratings; ADHD hyperactivity (!= Conners!); sum of scores; (Items: )"	""
"60"	"CS.T.xAIA.SS"	"CTRS_Rs; Teacher ratings; ADHD inattention (!= Conners!); sum of scores; (Items: )"	""
"61"	"CS.T.xAIM.SS"	"CTRS_Rs; Teacher ratings; ADHD impulsivity (!= Conners!); sum of scores; (Items: )"	""
"62"	"CS.T.xCD.SS"	"CTRS_Rs; Teacher ratings; Conduct disorder (!= Conners!); sum of scores; (Items: )"	""
"63"	"CS.T.xODD.SS"	"CTRS_Rs; Teacher ratings; ODD (!= Conners!); sum of scores; (Items: )"	""
"64"	"EAS.P.ACTIVITY.SS"	"EAS; Parent rating; ACTIVITY; sum score"	""
"65"	"EAS.P.EMOTION.SS"	"EAS; Parent rating; EMOTIONABILITY; sum score"	""
"66"	"EAS.P.SHYNESS.SS"	"EAS; Parent rating; SHYNESS; sum score"	""
"67"	"EAS.P.SOCIABIL.SS"	"EAS; Parent rating; SOCIABILITY; sum score"	""
"68"	"ECI.P.ADHD.SC"	"ECI4; Parent ratings; ADHD; count of non-zero scores"	""
"69"	"ECI.P.ADHD.SS"	"ECI4; Parent ratings; ADHD; sum of scores"	""
"70"	"ECI.P.AHI.SS"	"ECI4; Parent ratings; ADHD HyperactivityImpulsivity; sum of scores"	""
"71"	"ECI.P.AHY.SS"	"ECI4; Parent ratings; ADHD hyperactivity; sum of scores"	""
"72"	"ECI.P.AIA.SS"	"ECI4; Parent ratings; ADHD inattention; sum of scores"	""
"73"	"ECI.P.AIM.SS"	"ECI4; Parent ratings; ADHD impulsivity; sum of scores"	""
"74"	"ECI.P.AUT.SS"	"ECI4; Parent ratings; Autism spectrum disorder; sum of scores"	""
"75"	"ECI.P.CD.SS"	"ECI4; Parent ratings; Conduct disorder; sum of scores"	""
"76"	"ECI.P.CMP.SS"	"ECI4; Parent ratings; Compulsions; sum of scores"	""
"77"	"ECI.P.DEP.SS"	"ECI4; Parent ratings; Major depressive disorder; sum of scores"	""
"78"	"ECI.P.ELM.SS"	"ECI4; Parent ratings; Elimination disorder; sum of scores"	""
"79"	"ECI.P.FEED.SS"	"ECI4; Parent ratings; Feeding disorder; sum of scores"	""
"80"	"ECI.P.GEA.SS"	"ECI4; Parent ratings; Generalized anxiety; sum of scores"	""
"81"	"ECI.P.MOT.SS"	"ECI4; Parent ratings; Motor tics; sum of scores"	""
"82"	"ECI.P.OBS.SS"	"ECI4; Parent ratings; Obsessions; sum of scores"	""
"83"	"ECI.P.ODD.SS"	"ECI4; Parent ratings; Oppositional defiant disorder; sum of scores"	""
"84"	"ECI.P.PCS.SS"	"ECI4; Parent ratings; Peer conflict; sum of scores"	""
"85"	"ECI.P.PHOB.SS"	"ECI4; Parent ratings; Specific phobia; sum of scores"	""
"86"	"ECI.P.PTSD.SS"	"ECI4; Parent ratings; Post traumatic stress disorder; sum of scores"	""
"87"	"ECI.P.RAD.SS"	"ECI4; Parent ratings; Reactive attachment disorder; sum of scores"	""
"88"	"ECI.P.SEA.SS"	"ECI4; Parent ratings; Separation Anxiety; sum of scores"	""
"89"	"ECI.P.SLP.SS"	"ECI4; Parent ratings; Sleep disorders; sum of scores"	""
"90"	"ECI.P.SMU.SS"	"ECI4; Parent ratings; Selective mutism; sum of scores"	""
"91"	"ECI.P.SPH.SS"	"ECI4; Parent ratings; Social phobia; sum of scores"	""
"92"	"ECI.P.VOT.SS"	"ECI4; Parent ratings; Vocal tics; sum of scores"	""
"93"	"ECI.T.ADHD.SC"	"ECI4; Teacher ratings; ADHD; count of non-zero scores"	""
"94"	"ECI.T.ADHD.SS"	"ECI4; Teacher ratings; ADHD; sum of scores"	""
"95"	"ECI.T.AHI.SS"	"ECI4; Teacher ratings; ADHD HyperactivityImpulsivity; sum of scores"	""
"96"	"ECI.T.AHY.SS"	"ECI4; Teacher ratings; ADHD hyperactivity; sum of scores"	""
"97"	"ECI.T.AIA.SS"	"ECI4; Teacher ratings; ADHD inattention; sum of scores"	""
"98"	"ECI.T.AIM.SS"	"ECI4; Teacher ratings; ADHD impulsivity; sum of scores"	""
"99"	"ECI.T.AUT.SS"	"ECI4; Teacher ratings; Autism spectrum disorder; sum of scores"	""
"100"	"ECI.T.CD.SS"	"ECI4; Teacher ratings; Conduct disorder; sum of scores"	""
"101"	"ECI.T.CMP.SS"	"ECI4; Teacher ratings; Compulsions; sum of scores"	""
"102"	"ECI.T.DEP.SS"	"ECI4; Teacher ratings; Major depressive disorder; sum of scores"	""
"103"	"ECI.T.ELM.SS"	"ECI4; Teacher ratings; Elimination disorder; sum of scores"	""
"104"	"ECI.T.GEA.SS"	"ECI4; Teacher ratings; Generalized anxiety; sum of scores"	""
"105"	"ECI.T.MOT.SS"	"ECI4; Teacher ratings; Motor tics; sum of scores"	""
"106"	"ECI.T.OBS.SS"	"ECI4; Teacher ratings; Obsessions; sum of scores"	""
"107"	"ECI.T.ODD.SS"	"ECI4; Teacher ratings; Oppositional defiant disorder; sum of scores"	""
"108"	"ECI.T.PCS.SS"	"ECI4; Teacher ratings; Peer conflict; sum of scores"	""
"109"	"ECI.T.PHOB.SS"	"ECI4; Teacher ratings; Specific phobia; sum of scores"	""
"110"	"ECI.T.PTSD.SS"	"ECI4; Teacher ratings; Post traumatic stress disorder; sum of scores"	""
"111"	"ECI.T.SMU.SS"	"ECI4; Teacher ratings; Selective mutism; sum of scores"	""
"112"	"ECI.T.SPH.SS"	"ECI4; Teacher ratings; Social phobia; sum of scores"	""
"113"	"ECI.T.VOT.SS"	"ECI4; Teacher ratings; Vocal tics; sum of scores"	""
"114"	"GPT.d.n_miss"	"Grooved pegboard task; dominant hand; number missed pins"	""
"115"	"GPT.d.n2h"	"Grooved pegboard task; dominant hand; number used two hands"	""
"116"	"GPT.d.sec"	"Grooved pegboard task; dominant hand; seconds"	""
"117"	"GPT.nd.n_miss"	"Grooved pegboard task; non-dominant hand; number missed pins"	""
"118"	"GPT.nd.n2h"	"Grooved pegboard task; non-dominant hand; number used two hands"	""
"119"	"GPT.nd.sec"	"Grooved pegboard task; non-dominant hand; seconds"	""
"120"	"MB3S.ADHD.SS"	"scale from Moba questionnaire(3 years); ADHD; sum of scores"	""
"121"	"NY.INHIB.Statue.S"	"NEPSY; Inhibition; Statue; Score [Orig Label:  6. StatueTotal score]"	""
"122"	"NY.VI.bunniescats.S"	"NEPSY; Visual attention; bunniescats; Score"	""
"123"	"NY.VI.cats.S"	"NEPSY; Visual attention; cats; Score"	""
"124"	"NY.VP.DesCop.S"	"NEPSY; Visual processing; design copying; Score [Orig Label:  1. Figurkopiering, resultat]"	""
"125"	"PP.ADHD.AT.SC"	"PAPA; ADHD; inattention; count of non-zero scores; PAPA: Number of present inattentiveness SYMPTOMs"	""
"126"	"PP.ADHD.AT.SS"	"PAPA; ADHD; inattention; sum of scores"	""
"127"	"PP.ADHD.GR"	"PAPA; ADHD; diagnostic groups"	"ADHD_c_clin = 1; ADHD_H_clin = 2; ADHD_IA_clin = 3; ADHD_C_subclin = 4; ADHD_H_subclin = 5; ADHD_IA_subclin = 6; no_ADHD = 7"
"128"	"PP.ADHD.HI.SC"	"PAPA; ADHD; hyperactivity and impulsivity; count of non-zero scores; PAPA: Number of present hyperactivityimpulsiveness SYMPTOMs"	""
"129"	"PP.ADHD.HY.SC"	"PAPA; ADHD; hyperactivity; count of non-zero scores; PAPA: Number of present hyperactivity SYMPTOMs"	""
"130"	"PP.ADHD.HY.SS"	"PAPA; ADHD; hyperactivity; sum of scores"	""
"131"	"PP.ADHD.IM.SC"	"PAPA; ADHD; impulsivity; count of non-zero scores; PAPA: Number of present impulsivity SYMPTOMs"	""
"132"	"PP.ADHD.IM.SS"	"PAPA; ADHD; impulsivity; sum of scores"	""
"133"	"PP.ADHD.IMP.SS"	"PAPA; ADHD; impairments; sum of scores"	""
"134"	"PP.ADHD.SC"	"PAPA; ADHD; count of non-zero scores; PAPA: Total number of present ADHD SYMPTOMs"	""
"135"	"PP.ADHD.SS"	"PAPA; ADHD; sum of scores"	""
"136"	"PP.ANX.GR"	"PAPA; any anxiety; diagnostic groups"	"ANX_clinical = 1; ANX_subclin = 2; ANX_missimp = 3; no_ANX = 4"
"137"	"PP.CD.GR"	"PAPA; conduct disorder; diagnostic groups"	"CD_clin = 1; CD_subclin = 2; CD_missimp = 3; no_CD = 4"
"138"	"PP.CD.IMP.SS"	"PAPA; conduct disorder; impairments; sum of scores"	""
"139"	"PP.CD.SC"	"PAPA; conduct disorder; count of non-zero scores"	""
"140"	"PP.CD.SS"	"PAPA; conduct disorder; sum of scores"	""
"141"	"PP.CSR.COMM.SS"	"PAPA; Communication, social behavior, and regulation; communication; sum of scores"	""
"142"	"PP.CSR.REP.SS"	"PAPA; Communication, social behavior, and regulation; repetetive behavior; sum of scores"	""
"143"	"PP.CSR.SOC.SS"	"PAPA; Communication, social behavior, and regulation; social play; sum of scores"	""
"144"	"PP.DBD.GR"	"PAPA; disruptive behavior disorders; diagnostic groups"	"DBD_clin = 1; DBD_subclin = 2; DBD_missimp = 3; no_DBD = 4"
"145"	"PP.DIAG.GR"	"PAPA; diagnostic; diagnostic groups"	"ADHD_only = 1; ADHD_w_COMROB = 2; OTHER_only = 3; no_Diagnosis = 4"
"146"	"PP.EH.SS"	"PAPA; Eating habits; sum of scores"	""
"147"	"PP.EMO.GR"	"PAPA; affective disorder; diagnostic groups"	"EMOT_DYSREG_wimp = 1; EMOT_DYSREG_woimp = 2; EMOT_DYSREG_PROBL = 4"
"148"	"PP.GEA.GR"	"PAPA; generalized anxiety; diagnostic groups"	"SEA_clinical = 1; SEA_subclinical = 2; SEA_noimp = 3; no_SEA = 4"
"149"	"PP.GEA.IMP.SS"	"PAPA; generalized anxiety; impairments; sum of scores"	""
"150"	"PP.LANG.GR"	"PAPA; language; diagnostic groups"	"LANG_DEV_PROBL_clin = 1; LANG_DEV_PROBL_subclin = 2; LANG_DEV_PROBL_lackinfo = 3; no_LANG_DEV_PROBL = 4"
"151"	"PP.ODD.GR"	"PAPA; oppositional defient disorder; diagnostic groups"	"ODD_clin = 1; ODD_subclin = 2; ODD_missimp = 3; no_ODD = 4"
"152"	"PP.ODD.IMP.SS"	"PAPA; oppositional defient disorder; impairments; sum of scores"	""
"153"	"PP.ODD.SC"	"PAPA; oppositional defient disorder; count of non-zero scores"	""
"154"	"PP.ODD.SS"	"PAPA; oppositional defient disorder; sum of scores"	""
"155"	"PP.OTHER.GR"	"PAPA; other; diagnostic groups"	"OTHER_DISORDER_clin = 1; OTHER_DISORDER_subclin = 2; OTHER_DISORDER_lackinfo = 3; no_OTHER_DISORDER = 4"
"156"	"PP.PHO.GR"	"PAPA; phobia; diagnostic groups"	"Phobia_clinical = 1; Phobia_subclinical = 2; Phobia_noimp = 3; no_Phobia = 4"
"157"	"PP.PHO.IMP.SS"	"PAPA; phobia; impairments; sum of scores"	""
"158"	"PP.PHO.SC"	"PAPA; phobia; count of non-zero scores"	""
"159"	"PP.PHO.SS"	"PAPA; phobia; sum of scores"	""
"160"	"PP.PP.ER.SS"	"PAPA; PAPA; Emotion regulation; sum of scores"	""
"161"	"PP.SEA.GR"	"PAPA; separation anxiety; diagnostic groups"	"SEA_clinical = 1; SEA_subclinical = 2; SEA_noimp = 3; no_SEA = 4"
"162"	"PP.SEA.IMP.SS"	"PAPA; separation anxiety; impairments; sum of scores"	""
"163"	"PP.SEA.SC"	"PAPA; separation anxiety; count of non-zero scores"	""
"164"	"PP.SEA.SS"	"PAPA; separation anxiety; sum of scores"	""
"165"	"PP.SL.GR"	"PAPA; sleep; diagnostic groups"	"SLEEP_REG_PROBL_wimp = 1; SLEEP_REG_PROBL_woimp = 2; no_SLEEP_REG_PROBL = 4"
"166"	"PP.SOA.GR"	"PAPA; social anxiety; diagnostic groups"	"SocAnx_clinical = 1; SocAnx_subclinical = 2; SocAnx_noimp = 3; no_Phobia = 4"
"167"	"PP.SOA.IMP.SS"	"PAPA; social anxiety; impairments; sum of scores"	""
"168"	"PP.SOA.SC"	"PAPA; social anxiety; count of non-zero scores"	""
"169"	"PP.SOA.SS"	"PAPA; social anxiety; sum of scores"	""
"170"	"PP.SR.SS"	"PAPA; Sensoric reactivity; sum of scores"	""
"171"	"PP.XOTHER.GR"	"PAPA; Other disorder than ADHD; diagnostic groups"	"Yes = 1; No = 2"
"172"	"PPS.T.Reticent.SS"	"PPS; Teacher rating; Reticent; sum of scores"	""
"173"	"PPS.T.RoughPlay.SS"	"PPS; Teacher rating; RoughPlay; sum of scores"	""
"174"	"PPS.T.SocialPlay.SS"	"PPS; Teacher rating; SocialPlay; sum of scores"	""
"175"	"PPS.T.SolitaryActive.SS"	"PPS; Teacher rating; SolitaryActive; sum of scores"	""
"176"	"PPS.T.SolitaryPassive.SS"	"PPS; Teacher rating; SolitaryPassive; sum of scores"	""
"177"	"PREG_ID_299"	"Unique ID for each pregnancy"	""
"178"	"SDQ.P.CONDUCT.SS"	"SDQ; parent; CONDUCT; sum of scores"	""
"179"	"SDQ.P.EMOTION.SS"	"SDQ; parent; EMOTION; sum of scores"	""
"180"	"SDQ.P.HYPERACT.SS"	"SDQ; parent; HYPERACT; sum of scores"	""
"181"	"SDQ.P.IPT.SS"	"SDQ; parent; impact on functioning; sum of scores"	""
"182"	"SDQ.P.PEERREL.SS"	"SDQ; parent; PEERREL; sum of scores"	""
"183"	"SDQ.P.PROSOCIAL.SS"	"SDQ; parent; PROSOCIAL; sum of scores"	""
"184"	"SDQ.P.TOT.SS"	"SDQ; parent; global evaluation based on EMOTION, CONDUCT, HYPERACTIVITY, PEERRELATIONS; sum of scores; sum of sumscores for emotion, conduct, hyper, peer"	""
"185"	"SDQ.T.CONDUCT.SS"	"SDQ; teacher; CONDUCT; sum of scores"	""
"186"	"SDQ.T.EMOTION.SS"	"SDQ; teacher; EMOTION; sum of scores"	""
"187"	"SDQ.T.HYPERACT.SS"	"SDQ; teacher; HYPERACT; sum of scores"	""
"188"	"SDQ.T.PEERREL.SS"	"SDQ; teacher; PEERREL; sum of scores"	""
"189"	"SDQ.T.PROSOCIAL.SS"	"SDQ; teacher; PROSOCIAL; sum of scores"	""
"190"	"StB.ABIQ.S"	"Stanford Binet test battery; Abbreviated IQ; Score [Orig Label:  1. BOK NRRoutingoppgaver for ikke-verbalt domene Sumscore]"	""
"191"	"StB.NVIQ.S"	"Stanford Binet test battery; non-verbal IQ; Score [Orig Label:  1. BOK NRRoutingoppgaver for ikke-verbalt domene Sumscore]"	""
"192"	"StB.NVWMS.S"	"Stanford Binet test battery; non-visual working memory; Score [Orig Label:  5. BOK NRNIVÅ 1-3 IKKE-VERBALT DOMENEARBEIDSMINNE TOTAL SUMSCORE]"	""
"193"	"StB.VIQ.S"	"Stanford Binet test battery; verbal IQ; Score [Orig Label:  3. BOK NRVerbalt domene Oppg. 1-14 Sumscore]"	""
"194"	"StB.VWMS.S"	"Stanford Binet test battery; visual working memory; Score [Orig Label:  7. BOK NRNIVÅOGVERBALT ARBEIDSMINNE TOTALT SUMSCORE]"	""
"195"	"StB.WMindex.S"	"Stanford Binet test battery; workig memory index; Score [Orig Label:  5. BOK NRNIVÅ 1-3 IKKE-VERBALT DOMENEARBEIDSMINNE TOTAL SUMSCORE]"	""
"196"	"STP.S"	"Spin the pots task; Score [Orig Label:  1. Score totalt (16 minus totalt antall feil):]"	""
"197"	"TT.A.errors"	"Truck reversal learning task; pre reversal/switch; number of errors [Orig Label:  1. Score 1: 12antall feil:]"	""
"198"	"TT.B.errors"	"Truck reversal learning task; post reversal/switch; number of errors [Orig Label:  2. Score 3: 12antall feil:]"	""
